product_name,drug_name,company_name,company_type,outcome,start_date,last_updated,din,dose,pharmaceutical_form,route_of_administration,medical_necessity,marketed_by_other_manufacturers,est_resupply_date,discontinued,discontinuation_date
TRINIPATCH 0.4,NITROGLYCERIN,Paladin Labs Inc.,Generic,Resolved,2014-10-06T00:00:00Z,2014-12-17T00:00:00Z,02230733,44.8 mg,Patch,Topical,No,,2014-11-01T00:00:00Z,No,
TRINIPATCH 0.4,NITROGLYCERIN,Paladin Labs Inc.,Generic,Resolved,2015-09-25T00:00:00Z,2015-11-06T00:00:00Z,02230733,44.8 mg,Patch,Topical,No,,2015-11-25T00:00:00Z,No,
TRINIPATCH 0.4,NITROGLYCERIN,Paladin Labs Inc.,Generic,Resolved,2015-11-20T00:00:00Z,2016-01-21T00:00:00Z,02230733,44.8 mg,Patch,Topical,No,,2016-01-20T00:00:00Z,No,
TRINIPATCH 0.6,NITROGLYCERIN,Paladin Labs Inc.,Generic,Resolved,2015-11-20T00:00:00Z,2016-01-21T00:00:00Z,02230734,67.2 mg,Patch,Topical,No,,2016-01-20T00:00:00Z,No,
MYLAN-MINOCYCLINE,MINOCYCLINE (MINOCYCLINE HYDROCHLORIDE),Mylan Pharmaceuticals ULC,Generic,Resolved,2014-06-16T00:00:00Z,2014-08-15T00:00:00Z,02230735,50 mg,Capsule,Oral,,,,No,
LOSEC,Losec EC,AstraZeneca Canada Inc.,Innovator,Resolved,2013-04-02T00:00:00Z,2013-07-02T00:00:00Z,02230737,10 mg/mL,Tablet,Oral,No,,2013-07-05T00:00:00Z,No,
METHYLENE BLUE INJECTION USP,METHYLENE BLUE,Omega Laboratories Ltd.,Generic,Resolved,2014-12-01T00:00:00Z,2015-02-09T00:00:00Z,02230770,10 mg,Liquid,Oral,No,,2015-01-19T00:00:00Z,No,
METHYLENE BLUE INJECTION USP,METHYLENE BLUE,Omega Laboratories Ltd.,Generic,Resolved,2015-04-24T00:00:00Z,2015-09-11T00:00:00Z,02230770,10 mg,Liquid,Oral,No,,2015-09-01T00:00:00Z,No,
METHYLENE BLUE INJECTION USP,METHYLENE BLUE,Omega Laboratories Ltd.,Generic,Resolved,2016-02-01T00:00:00Z,2016-02-29T00:00:00Z,02230770,10 mg,Liquid,Oral,No,,2016-02-22T00:00:00Z,No,
PMS-METOPROLOL-L,METOPROLOL TARTRATE,Pharmascience Inc.,Generic,Resolved,2014-09-23T00:00:00Z,2015-11-16T00:00:00Z,02230803,50 mg,Tablet,Oral,No,,,No,
PMS-METOPROLOL-L,METOPROLOL TARTRATE,Pharmascience Inc.,Generic,Resolved,2014-09-19T00:00:00Z,2015-11-16T00:00:00Z,02230804,100 mg,Tablet,Oral,No,,,No,
TEVA-TERAZOSIN,TERAZOSIN (TERAZOSIN HYDROCHLORIDE),Teva Canada Limited,Generic,Current,2015-01-09T00:00:00Z,2015-11-19T00:00:00Z,02230805,1 mg,Tablet,Oral,No,,2015-12-31T00:00:00Z,No,
TEVA-TERAZOSIN,TERAZOSIN (TERAZOSIN HYDROCHLORIDE),Teva Canada Limited,Generic,Current,2015-11-19T00:00:00Z,2015-11-19T00:00:00Z,02230807,5 mg,Tablet,Oral,No,,2016-12-31T00:00:00Z,No,
C.E.S. TABLETS,CONJUGATED ESTROGENS,Valeant Canada ,Generic,Resolved,2014-08-21T00:00:00Z,2015-03-24T00:00:00Z,02230891,0.3 mg,Tablet,Oral,No,,,Yes,
C.E.S. TABLETS,CONJUGATED ESTROGENS,Valeant Canada ,Generic,Resolved,2014-08-21T00:00:00Z,2015-03-24T00:00:00Z,02230892,0.9 mg,Tablet,Oral,No,,,Yes,
QUADRACEL® (02230946),QUADRACEL®: Adsorbed vaccine containing diphtheria and tetanus toxoids and acellular pertussis vaccine combined with inactivated poliomyelitis vaccine (DTaP-IPV),Sanofi Pasteur Limited,Innovator,Current,2015-05-31T00:00:00Z,2015-04-07T00:00:00Z,02230946,"(Per 0.5 mL dose) diphtheria toxoid - 15 LF, tetanus toxoid - 5 LF, acellular pertussis (PT - 20 µG, FHA - 20 µG, PRN - 3 µG, FIM 2&3 - 5 µG), IPV (type 1 - 40 U, type 2 - 8 U, type 3 - 32 U)",Suspension,Vaccine,Yes,,,No,
TEVA-NITROFURANTOIN,NITROFURANTOIN,Teva Canada Limited,Generic,Resolved,2014-07-29T00:00:00Z,2014-09-08T00:00:00Z,02231015,50 mg,Capsule,Oral,No,,2014-09-13T00:00:00Z,No,
TEVA-NITROFURANTOIN,NITROFURANTOIN,Teva Canada Limited,Generic,Resolved,2014-12-08T00:00:00Z,2015-01-23T00:00:00Z,02231015,50 mg,Capsule,Oral,No,,2015-01-29T00:00:00Z,No,
TEVA-NITROFURANTOIN,NITROFURANTOIN,Teva Canada Limited,Generic,Resolved,2016-01-14T00:00:00Z,2016-03-03T00:00:00Z,02231015,50 mg,Capsule,Oral,No,,2016-02-29T00:00:00Z,No,
TEVA-NITROFURANTOIN,NITROFURANTOIN,Teva Canada Limited,Generic,Current,2016-03-24T00:00:00Z,2016-04-07T00:00:00Z,02231015,50 mg,Capsule,Oral,No,,2016-05-16T00:00:00Z,No,
TEVA-NITROFURANTOIN,NITROFURANTOIN,Teva Canada Limited,Generic,Resolved,2014-12-08T00:00:00Z,2015-01-23T00:00:00Z,02231016,100 mg,Capsule,Oral,No,,2015-01-19T00:00:00Z,No,
BUSTAB,BUSPIRONE HYDROCHLORIDE,Valeant Canada ,Generic,Resolved,2014-08-21T00:00:00Z,2015-03-24T00:00:00Z,02231034,5 mg,Tablet,Oral,,,,Yes,
BUSTAB,BUSPIRONE HYDROCHLORIDE,Valeant Canada ,Generic,Resolved,2014-08-21T00:00:00Z,2015-03-24T00:00:00Z,02231035,10 mg,Tablet,Oral,,,,Yes,
ZITHROMAX 600MG,AZITHROMYCIN,Pfizer Canada Inc.,Innovator,Resolved,2013-10-24T00:00:00Z,2014-03-31T00:00:00Z,02231143,600 mg,Tablet,Oral,,,,Yes,2014-01-01T00:00:00Z
TEVA-INDAPAMIDE,INDAPAMIDE,Teva Canada Limited,Generic,Current,2016-02-26T00:00:00Z,2016-02-26T00:00:00Z,02231184,2.5 mg,Tablet,Oral,,,,Yes,2016-03-01T00:00:00Z
APO-FLUOXETINE ORAL SOLUTION,FLUOXETINE (FLUOXETINE HYDROCHLORIDE),Apotex Inc.,Generic,Current,2014-04-25T00:00:00Z,2015-12-09T00:00:00Z,02231328,20 mg,Solution,Oral,No,,,Yes,
ANZEMET,DOLASETRON MESYLATE,Sanofi Canada,Innovator,Current,2014-02-18T00:00:00Z,2014-02-28T00:00:00Z,02231379,100 mg,Tablet,Oral,,,,Yes,
MAVIK (2MG),TRANDOLAPRIL,BGP Pharma ULC,Generic,Resolved,2015-08-26T00:00:00Z,2015-12-08T00:00:00Z,02231460,2 mg,Capsule,Oral,,,2015-09-30T00:00:00Z,No,
TEVA-BUSPIRONE,BUSPIRONE,Teva Canada Limited,Generic,Resolved,2015-12-30T00:00:00Z,2016-03-24T00:00:00Z,02231492,10 mg,Tablet,Oral,,,2016-03-24T00:00:00Z,No,
OFLOXACIN TABLETS,OFLOXACIN,AA Pharma Inc.,Generic,Current,2015-04-21T00:00:00Z,2015-11-19T00:00:00Z,02231529,200 mg,Tablet,Oral,,,,No,
OFLOXACIN TABLETS,OFLOXACIN,AA Pharma Inc.,Generic,Current,2015-03-25T00:00:00Z,2015-11-19T00:00:00Z,02231531,300 mg,Tablet,Oral,,,,No,
OFLOXACIN TABLETS,OFLOXACIN,AA Pharma Inc.,Generic,Current,2014-04-14T00:00:00Z,2016-04-10T00:00:00Z,02231532,400 mg,Tablet,Oral,,,,No,
IRINOTECAN HCL,CAMPTOSAR,Pfizer Canada Inc.,Innovator,Resolved,2013-10-31T00:00:00Z,2014-03-06T00:00:00Z,02231622,20 mg/mL,Solution,Injectable,Yes,,2014-02-28T00:00:00Z,No,
PROTAMINE SULFATE INJECTION USP,PROTAMINE SULFATE,Sandoz Canada Inc.,Generic,Resolved,2014-03-04T00:00:00Z,2014-05-15T00:00:00Z,02231674,10 mg,Solution,Injectable,Yes,,,No,
COMBIVENT UDV(Salbutamol+Ipratropium),IPRATROPIUM BROMIDE (IPRATROPIUM BROMIDE MONOHYDRATE) + SALBUTAMOL (SALBUTAMOL SULPHATE),Boehringer Ingelheim (Canada) Ltd.,Innovator,Resolved,2016-03-01T00:00:00Z,2016-04-05T00:00:00Z,02231675,0.2 mg/1 mg,Solution,Inhalation,Yes,3.0,2016-04-01T00:00:00Z,No,
MYLAN-TRAZODONE,TRAZODONE HYDROCHLORIDE,Mylan Pharmaceuticals ULC,Generic,Current,2014-12-19T00:00:00Z,2014-12-19T00:00:00Z,02231683,50 mg,Tablet,Oral,,,,No,
LABETALOL HYDROCHLORIDE INJECTION USP,LABETALOL HYDROCHLORIDE,Sandoz Canada Inc.,Generic,Resolved,2014-10-28T00:00:00Z,2014-10-29T00:00:00Z,02231689,5 mg,Liquid,Injectable,Yes,,,No,
LABETALOL HYDROCHLORIDE INJECTION USP,LABETALOL HYDROCHLORIDE,Sandoz Canada Inc.,Generic,Resolved,2015-03-10T00:00:00Z,2015-07-10T00:00:00Z,02231689,5 mg,Liquid,Injectable,Yes,,2015-07-15T00:00:00Z,No,
LABETALOL HYDROCHLORIDE INJECTION USP,LABETALOL HYDROCHLORIDE,Sandoz Canada Inc.,Generic,Resolved,2015-09-13T00:00:00Z,2015-11-16T00:00:00Z,02231689,5 mg,Liquid,Injectable,Yes,,2015-12-31T00:00:00Z,No,
LABETALOL HYDROCHLORIDE INJECTION USP,LABETALOL HYDROCHLORIDE,Sandoz Canada Inc.,Generic,Resolved,2015-12-23T00:00:00Z,2016-01-08T00:00:00Z,02231689,5 mg,Liquid,Injectable,Yes,,2015-12-31T00:00:00Z,No,
METHYLPREDNISOLONE SOD SUCC ,METHYLPREDNISOLONE SOD SUCC 40MG PK 10,Teva Canada Limited,Generic,Resolved,2013-04-19T00:00:00Z,2013-09-16T00:00:00Z,02231893,40 mg,Powder for reconstitution,Injectable,Yes,,,No,
METHYLPREDNISOLONE SOD SUCC,METHYLPREDNISOLONE,Teva Canada Limited,Generic,Current,2015-04-24T00:00:00Z,2016-04-14T00:00:00Z,02231893,40 mg,Powder for Injection,Injectable,Yes,,,No,
METHYLPREDNISOLONE SOD SUCC 40MG PK 10,METHYLPREDNISOLONE,Teva Canada Limited,Generic,Resolved,2015-05-22T00:00:00Z,2015-07-06T00:00:00Z,02231893,40 mg,Powder for Injection,Injectable,Yes,,2015-06-26T00:00:00Z,No,
METHYLPREDNISOLONE SOD SUCC,METHYLPREDNISOLONE,Teva Canada Limited,Generic,Current,2015-12-17T00:00:00Z,2016-04-14T00:00:00Z,02231893,40 mg,Injection,Injectable,Yes,,,No,
METHYLPREDNISOLONE SOD SUCC ,METHYLPREDNISOLONE SOD SUCC 125MG PK 10,Teva Canada Limited,Generic,Resolved,2013-04-19T00:00:00Z,2013-06-28T00:00:00Z,02231894,125 mg,Powder for reconstitution,Injectable,Yes,,,No,
METHYLPREDNISOLONE SOD SUCC 125MG PK 10,METHYLPREDNISOLONE,Teva Canada Limited,Generic,Resolved,2015-05-22T00:00:00Z,2015-07-06T00:00:00Z,02231894,125 mg,Powder for Injection,Injectable,Yes,,2015-06-26T00:00:00Z,No,
METHYLPREDNISOLONE SOD SUCC,METHYLPREDNISOLONE,Teva Canada Limited,Generic,Current,2015-09-17T00:00:00Z,2016-04-14T00:00:00Z,02231894,125 mg,Injection,Injectable,Yes,,,No,
METHYLPREDNISOLONE SOD SUCC ,METHYLPREDNISOLONE SOD SUCC 500MG PK 5,Teva Canada Limited,Generic,Resolved,2013-04-22T00:00:00Z,2013-06-28T00:00:00Z,02231895,500 mg,Powder for reconstitution,Injectable,Yes,,,No,
Rhinocort Aqua,Rhinocort Aqua,AstraZeneca Canada Inc.,Innovator,Resolved,2013-10-07T00:00:00Z,2013-10-22T00:00:00Z,02231923,64 mcg,Not Listed,Topical,No,,2013-11-06T00:00:00Z,No,
AIROMIR,SALBUTAMOL (SALBUTAMOL SULFATE),Valeant Canada ,Generic,Resolved,2016-02-17T00:00:00Z,2016-03-23T00:00:00Z,02232570,100 mcg,Aerosol (Metered Dose),Inhalation,No,3.0,2016-03-11T00:00:00Z,No,
TEVA-ENALAPRIL,ENALAPRIL SODIUM,Teva Canada Limited,Generic,Current,2015-03-06T00:00:00Z,2015-05-08T00:00:00Z,02233005,4 mg,Tablet,Oral,No,,,Yes,2015-04-30T00:00:00Z
TEVA-ENALAPRIL,ENALAPRIL SODIUM,Teva Canada Limited,Generic,Current,2015-10-22T00:00:00Z,2015-10-22T00:00:00Z,02233007,16 mg,Tablet,Oral,No,,,Yes,2015-11-01T00:00:00Z
Endometrin (progesterone),Endometrin (progesterone),Ferring Inc.,Innovator,Resolved,2013-11-26T00:00:00Z,2013-12-02T00:00:00Z,02234992,100 mg,Tablet (Vaginal),Topical,No,,2013-12-02T00:00:00Z,No,
TEVA-CEFADROXIL,CEFADROXIL (CEFADROXIL MONOHYDRATE),Teva Canada Limited,Generic,Resolved,2015-10-01T00:00:00Z,2015-11-19T00:00:00Z,02235134,500 mg,Capsule,Oral,,,2015-11-13T00:00:00Z,No,
ATRACURIUM BESYLATE INJECTION,ATRACURIUM BESYLATE,Sandoz Canada Inc.,Generic,Resolved,2013-08-13T00:00:00Z,2014-05-28T00:00:00Z,02236759,10 mg,Liquid,Injectable,Yes,,,No,
ATRACURIUM BESYLATE INJECTION,ATRACURIUM BESYLATE,Sandoz Canada Inc.,Generic,Current,2015-11-11T00:00:00Z,2015-11-11T00:00:00Z,02236759,10 mg,Liquid,Injectable,Yes,,,No,
PMS-VALPROIC ACID,VALPROIC ACID (SODIUM VALPROATE),Pharmascience Inc.,Generic,Resolved,2014-11-10T00:00:00Z,2014-12-10T00:00:00Z,02236807,250 mg,Syrup,Oral,,,2014-12-15T00:00:00Z,No,
TEVA-AZATHIOPRINE,AZATHIOPRINE,Teva Canada Limited,Generic,Resolved,2015-01-09T00:00:00Z,2015-03-06T00:00:00Z,02236819,50 mg,Tablet,Oral,No,6.0,2015-03-13T00:00:00Z,No,
LEVAQUIN 5MG/ML,LEVOFLOXACIN,Janssen Inc.,Innovator,Resolved,2014-02-24T00:00:00Z,2014-04-07T00:00:00Z,02236839,5 mg,Solution,Injectable,No,2.0,2014-02-24T00:00:00Z,Yes,
LEVAQUIN,LEVOFLOXACIN,Janssen Inc.,Innovator,Resolved,2014-10-07T00:00:00Z,2014-10-07T00:00:00Z,02236841,250 mg,Tablet,Oral,,,,Yes,
LEVAQUIN 500MG,LEVOFLOXACIN,Janssen Inc.,Innovator,Resolved,2015-04-01T00:00:00Z,2016-02-03T00:00:00Z,02236842,500 mg,Tablet,Oral,,,,Yes,
TEVA-TICLOPIDINE,TICLOPIDINE HYDROCHLORIDE,Teva Canada Limited,Generic,Current,2015-11-26T00:00:00Z,2016-04-27T00:00:00Z,02236848,250 mg,Tablet,Oral,,,,Yes,2015-12-01T00:00:00Z
Primene 10% Pediatric Amino Acid Injection,Primene 10% Pediatric Amino Acid Injection,Baxter Corporation,Innovator,Resolved,2014-05-07T00:00:00Z,2014-07-17T00:00:00Z,02236875,0.1,Injection,Injectable,Yes,,2014-06-06T00:00:00Z,No,
Fraxiparine 0.3 mL,Nadroparin Calcium injection 0.3 mL,ASPEN PHARMA TRADING LIMITED,Generic,Resolved,2015-04-01T00:00:00Z,2015-11-06T00:00:00Z,02236913,9500 anti-Xa IU/mL,Injection,Injectable,Yes,,2015-08-01T00:00:00Z,No,
Fraxiparine 0.4 mL,Nadroparin Calcium injection 0.4 mL,ASPEN PHARMA TRADING LIMITED,Generic,Resolved,2015-04-01T00:00:00Z,2015-11-06T00:00:00Z,02236913,9500 anti-Xa IU/mL,Injection,Injectable,Yes,,2015-08-01T00:00:00Z,No,
Fraxiparine 0.6 mL,Nadroparin Calcium injection 0.6 mL,ASPEN PHARMA TRADING LIMITED,Generic,Resolved,2015-04-01T00:00:00Z,2015-11-06T00:00:00Z,02236913,9500 anti-Xa IU/mL,Injection,Injectable,Yes,,2015-08-01T00:00:00Z,No,
Fraxiparine 1.0 mL,Nadroparin Calcium injection 1.0 mL,ASPEN PHARMA TRADING LIMITED,Generic,Resolved,2015-04-01T00:00:00Z,2015-11-06T00:00:00Z,02236913,9500 anti-Xa IU/mL,Injection,Injectable,Yes,,2015-08-01T00:00:00Z,No,
ACYCLOVIR SODIUM INJECTION,ACYCLOVIR (ACYCLOVIR SODIUM),Hospira Healthcare Corporation,Generic,Resolved,2015-02-16T00:00:00Z,2015-02-27T00:00:00Z,02236916,25 mg/ml,Solution,Injectable,Yes,0.0,,No,
ACYCLOVIR SODIUM INJECTION,ACYCLOVIR (ACYCLOVIR SODIUM),Hospira Healthcare Corporation,Generic,Resolved,2015-03-20T00:00:00Z,2015-04-16T00:00:00Z,02236916,25 mg/ml,Solution,Injectable,Yes,0.0,2015-03-20T00:00:00Z,No,
ACYCLOVIR SODIUM INJECTION,ACYCLOVIR (ACYCLOVIR SODIUM),Fresenius Kabi,Generic,Resolved,2014-12-08T00:00:00Z,2015-02-06T00:00:00Z,02236926,50 mg/ml,Solution,Injectable,No,2.0,2015-02-06T00:00:00Z,No,
TEVA-FLUCONAZOLE,FLUCONAZOLE,Teva Canada Limited,Generic,Resolved,2015-08-10T00:00:00Z,2015-09-10T00:00:00Z,02236978,50 mg,Tablet,Oral,No,,2015-09-04T00:00:00Z,No,
TEVA-FLUCONAZOLE,FLUCONAZOLE,Teva Canada Limited,Generic,Resolved,2015-10-15T00:00:00Z,2015-11-26T00:00:00Z,02236978,50 mg,Tablet,Oral,No,,2015-11-20T00:00:00Z,No,
TEVA-FLUCONAZOLE,FLUCONAZOLE,Teva Canada Limited,Generic,Resolved,2015-12-03T00:00:00Z,2016-04-01T00:00:00Z,02236978,50 mg,Tablet,Oral,No,,2016-03-28T00:00:00Z,No,
CEFAZOLIN FOR INJECTION,CEFAZOLIN (CEFAZOLIN SODIUM),Fresenius Kabi,Generic,Current,2015-08-10T00:00:00Z,2016-03-14T00:00:00Z,02237140,10 g,Powder for Solution,Injectable,Yes,,2016-07-01T00:00:00Z,No,
ULCIDINE,FAMOTIDINE,Valeant Canada ,Generic,Resolved,2014-08-22T00:00:00Z,2015-03-24T00:00:00Z,02237148,20 mg,Tablet,Oral,No,,,Yes,
ULCIDINE,FAMOTIDINE,Valeant Canada ,Generic,Resolved,2014-08-22T00:00:00Z,2015-03-24T00:00:00Z,02237149,40 mg,Tablet,Oral,No,,,Yes,
APO-KETOCONAZOLE,KETOCONAZOLE,Apotex Inc.,Generic,Resolved,2015-02-19T00:00:00Z,2015-04-17T00:00:00Z,02237235,200 mg,Tablet,Oral,,,2015-04-13T00:00:00Z,No,
FLOVENT DISKUS,FLUTICASONE PROPIONATE (Nasal),GlaxoSmithKline Inc.,Innovator,Current,2015-10-09T00:00:00Z,2015-10-16T00:00:00Z,02237244,50 mcg,Powder,Topical,No,5.0,,Yes,
RATIO-TRYPTOPHAN,TRYPTOPHAN,Teva Canada Limited,Generic,Resolved,2014-12-12T00:00:00Z,2015-04-13T00:00:00Z,02237250,1 g,Tablet,Oral,,,2015-04-13T00:00:00Z,No,
IMOGAM RABIES PASTEURIZED,RABIES IMMUNE GLOBULIN HUMAN,Sanofi Pasteur Limited,Innovator,Current,2015-06-01T00:00:00Z,2015-06-26T00:00:00Z,02237328,150 units,Solution,Vaccine,Yes,,,No,
ACCURETIC,ACCURETIC,Pfizer Canada Inc.,Innovator,Resolved,2013-10-23T00:00:00Z,2013-11-29T00:00:00Z,02237368,20 mg/12.5 mg,Tablet,Oral,No,,2013-11-28T00:00:00Z,No,
ACCURETIC 20/12.5 MG,QUINAPRIL (QUINAPRIL HYDROCHLORIDE),Pfizer Canada Inc.,Innovator,Resolved,2015-07-08T00:00:00Z,2015-08-07T00:00:00Z,02237368,20 mg,Tablet,Oral,No,,2015-08-07T00:00:00Z,No,
ACCURETIC 20/12.5 MG,QUINAPRIL (QUINAPRIL HYDROCHLORIDE),Pfizer Canada Inc.,Innovator,Resolved,2015-09-23T00:00:00Z,2015-10-15T00:00:00Z,02237368,20 mg,Tablet,Oral,No,,2015-10-09T00:00:00Z,No,
APO-FLUCONAZOLE,FLUCONAZOLE,Apotex Inc.,Generic,Current,2015-03-18T00:00:00Z,2016-03-16T00:00:00Z,02237370,50 mg,Tablet,Oral,No,,2016-07-31T00:00:00Z,No,
APO-FLUCONAZOLE,FLUCONAZOLE,Apotex Inc.,Generic,Current,2015-06-30T00:00:00Z,2016-03-16T00:00:00Z,02237371,100 mg,Tablet,Oral,No,,2016-07-31T00:00:00Z,No,
PMS-ATENOLOL,ATENOLOL,Pharmascience Inc.,Generic,Resolved,2014-09-19T00:00:00Z,2015-01-05T00:00:00Z,02237600,50 mg,Tablet,Oral,No,,2015-01-01T00:00:00Z,No,
PMS-ATENOLOL,ATENOLOL,Pharmascience Inc.,Generic,Resolved,2014-09-19T00:00:00Z,2015-02-05T00:00:00Z,02237601,100 mg,Tablet,Oral,No,,2015-02-01T00:00:00Z,No,
AMERGE,NARATRIPTAN (NARATRIPTAN HYDROCHLORIDE),GlaxoSmithKline Inc.,Innovator,Resolved,2015-05-14T00:00:00Z,2015-06-26T00:00:00Z,02237820,1 mg,Tablet,Oral,No,,2015-06-26T00:00:00Z,No,
AMERGE(naratriptan),Amerge Tablet 2.5 mg,GlaxoSmithKline Inc.,Innovator,Resolved,2013-10-29T00:00:00Z,2013-11-06T00:00:00Z,02237821,2.5 mg,Tablet,Oral,No,,2013-11-06T00:00:00Z,No,
AMERGE,NARATRIPTAN (NARATRIPTAN HYDROCHLORIDE),GlaxoSmithKline Inc.,Innovator,Current,2015-06-12T00:00:00Z,2016-03-25T00:00:00Z,02237821,2.5 mg,Tablet,Oral,No,,,No,
AMERGE,NARATRIPTAN (NARATRIPTAN HYDROCHLORIDE),GlaxoSmithKline Inc.,Innovator,Resolved,2015-06-22T00:00:00Z,2015-08-27T00:00:00Z,02237821,2.5 mg,Tablet,Oral,No,,2015-08-17T00:00:00Z,No,
AMERGE,NARATRIPTAN (NARATRIPTAN HYDROCHLORIDE),GlaxoSmithKline Inc.,Innovator,Resolved,2016-03-15T00:00:00Z,2016-04-22T00:00:00Z,02237821,2.5 mg,Tablet,Oral,No,,2016-04-19T00:00:00Z,No,
MYLAN-ACEBUTOLOL (TYPE S),ACEBUTOLOL (ACEBUTOLOL HYDROCHLORIDE),Mylan Pharmaceuticals ULC,Generic,Resolved,2014-06-13T00:00:00Z,2014-08-15T00:00:00Z,02237886,200 mg,Tablet,Oral,No,,,No,
Diastat Gel 10mg (Rectal anti-convulsivant use),Diazepam (5 mg / mL),Valeant Canada ,Generic,Resolved,2015-10-28T00:00:00Z,2016-01-19T00:00:00Z,02238162,10 mg,Gel,Topical,No,,2015-12-21T00:00:00Z,No,
Diastat Gel 15mg,Diazepam (5 mg / mL),Valeant Canada ,Generic,Resolved,2015-10-28T00:00:00Z,2016-01-19T00:00:00Z,02238162,15 mg,Gel,Topical,No,,2015-12-21T00:00:00Z,No,
Diastat Gel 5mg,Diazepam (5 mg / mL),Valeant Canada ,Generic,Resolved,2015-10-28T00:00:00Z,2016-01-19T00:00:00Z,02238162,5 mg,Gel,Topical,No,,2015-12-21T00:00:00Z,No,
Diastat 10mg,Diazepam (5 mg / mL),Valeant Canada ,Generic,Resolved,2016-02-10T00:00:00Z,2016-02-17T00:00:00Z,02238162,10 mg,Gel,Topical,No,,,No,
Diastat 15mg,Diazepam (5 mg / mL),Valeant Canada ,Generic,Resolved,2016-02-10T00:00:00Z,2016-02-17T00:00:00Z,02238162,15 mg,Gel,Topical,No,,,No,
Diastat 5mg,Diazepam (5 mg / mL),Valeant Canada ,Generic,Resolved,2016-02-10T00:00:00Z,2016-02-17T00:00:00Z,02238162,5 mg,Gel,Topical,No,,,No,
DIASTAT,DIAZEPAM,Valeant Canada ,Generic,Resolved,2014-07-08T00:00:00Z,2014-11-17T00:00:00Z,02238162,5 mg,Gel ,Topical,No,,2014-07-18T00:00:00Z,No,
RISPERIDONE (RISPERIDONE TARTRATE),RIVA Loperamide USP - 7706X003,Hospira Healthcare Corporation,Generic,Resolved,2013-05-06T00:00:00Z,2013-07-12T00:00:00Z,02238211,2 mg,Tablet,Oral,,,2013-07-12T00:00:00Z,No,
APO-SERTRALINE,SERTRALINE (SERTRALINE HYDROCHLORIDE),Apotex Inc.,Generic,Resolved,2016-02-02T00:00:00Z,2016-02-08T00:00:00Z,02238280,25 mg,Capsule,Oral,,,2016-02-19T00:00:00Z,No,
APO-SERTRALINE,SERTRALINE (SERTRALINE HYDROCHLORIDE),Apotex Inc.,Generic,Resolved,2016-02-02T00:00:00Z,2016-02-08T00:00:00Z,02238282,100 mg,Capsule,Oral,,,2016-02-29T00:00:00Z,No,
TEVA-CLOBAZAM 10MG TABLETS P/PACK 30,CLOBAZAM,Teva Canada Limited,Generic,Resolved,2014-03-17T00:00:00Z,2014-06-13T00:00:00Z,02238334,10 mg,Tablet,Oral,No,,2014-04-24T00:00:00Z,No,
CAELYX® ,CAELYX® (pegylated liposomal doxorubicin hydrochloride for injection),Janssen Inc.,Innovator,Resolved,2013-09-25T00:00:00Z,2014-04-07T00:00:00Z,02238389,2 mg/mL,Vial,Injectable,No,,2014-04-07T00:00:00Z,No,
APO-NABUMETONE,NABUMETONE,Apotex Inc.,Generic,Current,2016-02-16T00:00:00Z,2016-04-05T00:00:00Z,02238639,500 mg,Tablet,Oral,,,2016-06-09T00:00:00Z,No,
APO-BECLOMETHASONE NASAL SPRAY,BECLOMETHASONE DIPROPIONATE,Apotex Inc.,Generic,Resolved,2016-03-16T00:00:00Z,2016-05-06T00:00:00Z,02238796,50 mcg,Suspension,Topical,No,,2016-05-03T00:00:00Z,No,
CLAVULIN,Clavulin Tablets,GlaxoSmithKline Inc.,Innovator,Resolved,2013-10-09T00:00:00Z,2013-11-06T00:00:00Z,02238829,875 mg,Tablet,Oral,No,,2013-10-30T00:00:00Z,No,
CLAVULIN 875,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),GlaxoSmithKline Inc.,Innovator,Resolved,2013-11-19T00:00:00Z,2014-03-04T00:00:00Z,02238829,875 mg,Tablet,Oral,No,,2014-02-24T00:00:00Z,No,
CLAVULIN 875,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),GlaxoSmithKline Inc.,Innovator,Resolved,2015-11-05T00:00:00Z,2015-12-23T00:00:00Z,02238829,875 mg,Tablet,Oral,No,,2015-12-21T00:00:00Z,No,
CLAVULIN 875,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),GlaxoSmithKline Inc.,Innovator,Resolved,2016-02-19T00:00:00Z,2016-03-11T00:00:00Z,02238829,875 mg,Tablet,Oral,No,,2016-03-14T00:00:00Z,No,
CLAVULIN,Clavulin-400,GlaxoSmithKline Inc.,Innovator,Resolved,2013-11-13T00:00:00Z,2014-02-21T00:00:00Z,02238830,400 mg/5 mL,Suspension (Oral),Oral,No,,2014-02-13T00:00:00Z,No,
CLAVULIN 400,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),GlaxoSmithKline Inc.,Innovator,Resolved,2014-11-14T00:00:00Z,2015-02-06T00:00:00Z,02238830,400 mg,Powder for Solution,Oral,No,,2015-02-04T00:00:00Z,No,
CLAVULIN 400,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),GlaxoSmithKline Inc.,Innovator,Resolved,2015-02-05T00:00:00Z,2015-03-20T00:00:00Z,02238830,400 mg,Powder for Solution,Oral,No,,2015-03-20T00:00:00Z,No,
